recipe_name,cuisine_type,meal_type,difficulty_level,prep_time_minutes,cook_time_minutes,servings,main_ingredients,all_ingredients,dietary_restrictions,instructions,nutritional_info
Spaghetti Carbonara,Italian,Dinner,Medium,15,20,4,"Spaghetti, Eggs, Pancetta, Parmesan","Spaghetti, Eggs, Pancetta, Parmesan, Black Pepper, Olive Oil, Salt","Contains gluten, dairy, pork",Boil spaghetti until al dente. Fry pancetta until crispy. Whisk eggs with grated Parmesan. Toss hot spaghetti with pancetta and egg mixture off heat. Serve immediately with black pepper.,"Calories: 520, Protein: 22g, Carbs: 60g, Fat: 22g"
Chicken Tikka Masala,Indian,Dinner,Hard,30,45,4,"Chicken, Yogurt, Tomato Sauce, Spices","Chicken, Yogurt, Tomato Paste, Cream, Onion, Garlic, Ginger, Garam Masala, Turmeric, Chili Powder, Cumin, Coriander",Contains dairy,"Marinate chicken in yogurt and spices. Grill until charred. Prepare sauce with onion, garlic, ginger, spices, tomato paste, and cream. Simmer chicken in sauce. Serve with rice or naan.","Calories: 600, Protein: 35g, Carbs: 45g, Fat: 28g"
Avocado Toast,American,Breakfast,Easy,5,0,1,"Bread, Avocado","Whole-grain Bread, Ripe Avocado, Lemon Juice, Salt, Pepper, Olive Oil","Vegetarian, Vegan","Toast bread slices. Mash avocado with lemon juice, salt, and pepper. Spread on toast and drizzle with olive oil.","Calories: 280, Protein: 6g, Carbs: 28g, Fat: 16g"
Sushi Rolls,Japanese,Lunch,Medium,40,0,4,"Sushi Rice, Nori, Fish/Vegetables","Sushi Rice, Rice Vinegar, Sugar, Salt, Nori Sheets, Fresh Fish (salmon/tuna), Avocado, Cucumber, Soy Sauce, Wasabi","Gluten-free (with tamari), Contains fish","Cook sushi rice, season with vinegar mixture. Lay nori, spread rice, add fillings. Roll tightly and slice. Serve with soy sauce and wasabi.","Calories: 350, Protein: 18g, Carbs: 50g, Fat: 8g"
Beef Tacos,Mexican,Dinner,Easy,15,15,4,"Ground Beef, Tortillas","Ground Beef, Taco Seasoning, Corn Tortillas, Lettuce, Tomato, Cheese, Sour Cream, Salsa","Contains gluten, dairy (if flour tortillas/cheese used)","Brown beef with seasoning. Warm tortillas. Assemble tacos with beef, lettuce, tomato, cheese, and toppings.","Calories: 420, Protein: 24g, Carbs: 38g, Fat: 18g"
Greek Salad,Mediterranean,Lunch,Easy,15,0,4,"Tomatoes, Cucumbers, Feta Cheese","Tomatoes, Cucumbers, Red Onion, Kalamata Olives, Feta Cheese, Olive Oil, Oregano, Red Wine Vinegar","Vegetarian, Gluten-free","Chop vegetables. Mix with olives and feta. Drizzle with olive oil and vinegar, sprinkle oregano.","Calories: 210, Protein: 6g, Carbs: 12g, Fat: 16g"
French Onion Soup,French,Dinner,Medium,20,60,4,"Onions, Beef Broth, Gruyere","Onions, Butter, Beef Broth, Thyme, Bay Leaf, Baguette Slices, Gruyere Cheese, Salt, Pepper","Contains gluten, dairy","Caramelize onions in butter. Add broth and herbs, simmer 45 minutes. Ladle soup into bowls, top with bread and Gruyere, broil until melted.","Calories: 380, Protein: 15g, Carbs: 30g, Fat: 20g"
Falafel Wrap,Middle Eastern,Lunch,Medium,20,15,4,"Chickpeas, Tahini, Pita","Chickpeas, Garlic, Onion, Parsley, Cumin, Coriander, Flour, Salt, Oil (for frying), Pita Bread, Tahini Sauce, Lettuce, Tomato","Vegetarian, Vegan (without yogurt sauce)","Blend chickpeas with spices and herbs. Shape into balls and fry. Serve in pita with lettuce, tomato, and tahini sauce.","Calories: 450, Protein: 14g, Carbs: 55g, Fat: 18g"
Banana Pancakes,American,Breakfast,Easy,10,15,2,"Bananas, Flour, Eggs","Bananas, Flour, Eggs, Milk, Baking Powder, Sugar, Butter, Maple Syrup",Vegetarian,"Mash bananas. Mix with flour, eggs, milk, baking powder, and sugar. Cook pancakes on skillet. Serve with butter and maple syrup.","Calories: 320, Protein: 9g, Carbs: 55g, Fat: 8g"
Pad Thai,Thai,Dinner,Medium,25,20,4,"Rice Noodles, Shrimp, Peanuts","Rice Noodles, Shrimp, Egg, Tofu, Bean Sprouts, Peanuts, Tamarind Paste, Fish Sauce, Soy Sauce, Garlic, Lime","Contains nuts, soy, shellfish","Soak rice noodles. Stir-fry shrimp, tofu, and garlic. Add noodles and sauce mixture. Push aside, scramble egg, mix together. Top with peanuts and lime.","Calories: 500, Protein: 25g, Carbs: 60g, Fat: 18g"
